 |  | Amortização
 |  | Premissas:
 |  | Concessionário remunerado pelos usuários dos serviços públicos, em decorrência da obtenção do direito de cobrá-los a um determinado preço e período pactuado pelo poder concedente.  Modelo de ativo intangível. (OCPC 05 - Contratos de Concessão)
 |  | O Ativo Intangível dever ser amortizado dentro do prazo de concessão. (OCPC 05 - Item 4.2)
 |  | Estimativa de Curva linear de amortização.
 |  |  |  |  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30
 | CAPEX  real |  |  | 144967729.68 | 44794164.495 | 6904933.485 | 4052790.21 | 2279292.8819999998 | 69509.20000000001 | 144335.12 | 3238943.16 | 80011.86 | 13938778.340000002 | 1353217.01 | 17697629.191999998 | 0 | 0 | 160773.79999999996 | 3308452.3600000003 | 224346.97999999998 | 13938778.340000002 | 2279292.8819999998 | 0 | 1353217.01 | 6888816.91 | 0 | 3238943.16 | 2520078.542 | 14008287.540000001 | 144335.12 | 0 | 0 | 0 | 2348802.082
 | Amortização CAPEX real |  |  | 144967729.68000004 | 1493138.8165 | 1731239.9711551724 | 1875982.4786551725 | 1960400.7335440614 | 1963074.1643132921 | 1968847.569113292 | 2103803.534113292 | 2107282.310635031 | 2740863.144271395 | 2805302.0495094904 | 3690183.5091094906 | 3690183.5091094906 | 3690183.5091094906 | 3699640.7914624317 | 3906419.0639624316 | 3921375.529295765 | 4917002.553581479 | 5092332.775273787 | 5092332.775273787 | 5215352.503455605 | 5904234.194455605 | 5904234.194455605 | 6309102.089455605 | 6669113.309741319 | 9003827.89974132 | 9032694.92374132 | 9032694.92374132 | 9032694.92374132 | 9032694.92374132 | 11381497.00574132
 |  |  |  |  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30
 | Inflação anual |  |  |  | 0.038 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035 | 0.035
 | Inflação anual acum. |  |  |  | 0.038000000000000034 | 0.07433000000000001 | 0.11193154999999999 | 0.1508491542499999 | 0.19112887464874984 | 0.23281838526145604 | 0.27596702874560686 | 0.320625874751703 | 0.3668477803680126 | 0.4146874526808928 | 0.46420151352472394 | 0.5154485664980892 | 0.5684892663255223 | 0.6233863906469155 | 0.6802049143195574 | 0.7390120863207419 | 0.7998775093419677 | 0.8628732221689364 | 0.928073784944849 | 0.9955563674179186 | 1.0654008402775457 | 1.1376898696872595 | 1.2125090151263134 | 1.289946830655734 | 1.3700949697286844 | 1.453048293669188 | 1.5389049839476092 | 1.6277666583857755 | 1.7197384914292773 | 1.8149293386293017
 | CAPEX nominal |  |  | 217999230.09897077 | 46496342.74581 | 7418177.19094005 | 4506425.300030125 | 2623122.2855377444 | 82794.4151737349 | 177938.9895749185 | 4132784.6801411067 | 105665.7326030108 | 19052188.23507073 | 1914379.1248013542 | 25912895.448725734 | 0 | 0 | 260997.998892589 | 5558877.914064138 | 390142.10974955774 | 25088093.64186897 | 4246033.675358061 | 0 | 2700420.8208037373 | 14228168.234432166 | 0 | 7166190.940981709 | 5770845.870256423 | 33200971.833067007 | 354061.01983253745 | 0 | 0 | 0 | 6611711.891255387
 | Amortização CAPEX nominal |  |  | 217999230.09897077 | 1549878.091527 | 1805677.3050076915 | 1966621.0657230532 | 2063773.7429651918 | 2066958.1435487971 | 2074075.7031317938 | 2246275.06480434 | 2250869.2270914274 | 3116877.783231006 | 3208038.6939358325 | 4503683.466372119 | 4503683.466372119 | 4503683.466372119 | 4519036.289836389 | 4866466.159465398 | 4892475.633448701 | 6684482.322153628 | 7011100.297181171 | 7011100.297181171 | 7256593.09907242 | 8679409.922515636 | 8679409.922515636 | 9575183.79013835 | 10399590.343032125 | 15933085.648543295 | 16003897.852509802 | 16003897.852509802 | 16003897.852509802 | 16003897.852509802 | 22615609.74376519
 | Saldo a amortizar |  |  |  | 44946464.654283 | 50558964.54021536 | 53098768.77452243 | 53658117.31709498 | 51673953.58871992 | 49777816.87516304 | 51664326.49049981 | 49519122.99601139 | 65454433.44785112 | 64160773.87871664 | 85569985.86107025 | 81066302.39469813 | 76562618.92832601 | 72304580.63738221 | 72996992.39198095 | 68494658.8682818 | 86898270.18799713 | 84133203.56617402 | 77122103.26899284 | 72565930.99072416 | 78114689.30264069 | 69435279.38012506 | 67026286.53096842 | 62397542.058192715 | 79665428.24271643 | 64015591.410039164 | 48011693.55752936 | 32007795.705019556 | 16003897.852509754 | -5.029141902923584e-08
 | Amortização linear no período (real) |  |  | 107019524.12789999 | 1493138.8165 | 1680747.3541720808 | 1768652.9946227835 | 1793261.7279543802 | 1735293.4577782939 | 1682385.441300767 | 1760449.1450007411 | 1704395.8248316343 | 2280340.084681421 | 2267666.0401959904 | 3075863.140948783 | 2971848.445361143 | 2871351.1549383025 | 2783709.605964828 | 2896352.771016742 | 2813364.9397456446 | 3713854.0192090427 | 3763594.9745512865 | 3636323.646909456 | 3636375.9087706646 | 4202288.366140739 | 4060181.9962712456 | 4327749.050817629 | 4541411.269384874 | 6722551.565251087 | 6524085.92762424 | 6303464.6643712465 | 6090304.023547098 | 5884351.7135720765 | 8034166.056465776
 | Ajuste no CAPEX (perda por desvalorização) |  |  |  | 0 | 50492.61698309169 | 107329.48403238901 | 167139.0055896812 | 227780.70653499826 | 286462.127812525 | 343354.389112551 | 402886.4858033969 | 460523.0595899741 | 537636.0093135 | 614320.3681607074 | 718335.0637483476 | 818832.3541711881 | 915931.1854976038 | 1010066.2929456895 | 1108010.5895501203 | 1203148.5343724363 | 1328737.8007225003 | 1456009.128364331 | 1578976.5946849408 | 1701945.828314866 | 1844052.1981843594 | 1981353.0386379752 | 2127702.040356445 | 2281276.334490233 | 2508608.9961170806 | 2729230.2593700737 | 2942390.900194222 | 3148343.2101692436 | 3347330.949275545
