 | Demonstrativo do Resultado do Exercício - DRE
 | Valores em R$
 | Ano |  |  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30
 | (+) | Receita da tarifa de remuneração |  | 51715006.65991614 | 51963422.328385524 | 52211837.9968549 | 52460253.665324286 | 52708669.33379366 | 52957039.343395494 | 53177177.20567262 | 53397315.06794972 | 53617452.93022685 | 53837590.79250395 | 54057679.117923476 | 54190009.111614235 | 54322339.105304986 | 54454669.098995715 | 54586999.09268645 | 54720053.64142413 | 54778861.03340027 | 54837668.42537643 | 54896475.81735258 | 54955283.20932873 | 55013923.19384649 | 55072730.58582264 | 55131537.977798805 | 55190345.36977496 | 55249152.761751115 | 55307960.15372726 | 55366767.54570341 | 55425574.93767957 | 55484382.32965573 | 55543189.72163187
 | (-)  | Inadimplência |  | -8594781.907727957 | -4941735.428743775 | -3930463.1872084667 | -3417288.2181796688 | -3162211.2051633047 | -2964653.490550907 | -2833476.4203254096 | -2845206.178743584 | -2856935.9371617604 | -2868665.6955799353 | -2880392.8144913656 | -2887443.8453381965 | -2894494.8761850265 | -2901545.9070318555 | -2908596.937878685 | -2915686.5756946807 | -2918820.0507541173 | -2921953.5258135553 | -2925087.000872993 | -2928220.4759324305 | -2931345.030904137 | -2934478.5059635746 | -2937611.9810230127 | -2940745.45608245 | -2943878.931141888 | -2947012.406201325 | -2950145.881260762 | -2953279.3563202 | -2956412.831379638 | -2959546.3064390747
 | (+) | Receita RPU |  | 3722535.032958998 | 3739825.6304044463 | 3757116.227849894 | 3774406.825295342 | 3791697.4227407905 | 3808974.0524997604 | 3823998.232407922 | 3839022.4123160834 | 3854046.5922242445 | 3869070.7721324065 | 3884067.3621580903 | 3892751.002097936 | 3901434.6420377814 | 3910118.281977626 | 3918801.9219174716 | 3927526.806839649 | 3931017.0997182275 | 3934507.392596805 | 3937997.6854753834 | 3941487.978353961 | 3944988.997889292 | 3948479.29076787 | 3951969.5836464483 | 3955459.8765250253 | 3958950.169403605 | 3962440.4622821826 | 3965930.75516076 | 3969421.048039338 | 3972911.340917916 | 3976401.633796494
 | (+) | Outras Receitas |  | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 7626241.893253908 | 6538645.634651275 | 0 | 0 | 0 | 0 | 0 | 0 | 7266058.959276527 | 0 | 0 | 1421444.7031850598 | 0 | 0 | 0 | 0 | 7266058.959276527 | 0 | 0 | 0 | 0 | 0
 | Receita Operacional Bruta |  |  | 46842759.78514718 | 50761512.530046195 | 52038491.03749633 | 52817372.272439964 | 53338155.55137114 | 53801359.90534435 | 54167699.01775513 | 54391131.30152222 | 62240805.478543244 | 61376641.50370769 | 55061353.6655902 | 55195316.26837397 | 55329278.871157736 | 55463241.47394148 | 55597204.07672524 | 55731893.8725691 | 63057117.04164091 | 55850222.29215968 | 55909386.50195497 | 57389995.41493533 | 56027567.160831645 | 56086731.37062694 | 56145895.58042224 | 56205059.79021753 | 63530282.95928936 | 56323388.20980812 | 56382552.41960341 | 56441716.6293987 | 56500880.83919401 | 56560045.04898929
 | (-) | Impostos sobre Receitas |  | -5666118.365279795 | -6034291.611455655 | -6158100.740667492 | -6235835.872172479 | -3302760.231869528 | -3325366.729320651 | -3343380.763453208 | -3356178.6983402707 | -3647334.4623311027 | -3620435.1337791695 | -3394568.7747612754 | -3401885.737968265 | -3409202.7011752552 | -3416519.6643822445 | -3423836.627589234 | -3431191.355929699 | -3699130.712142042 | -3436647.7643272 | -3439375.968525951 | -3493986.9043909563 | -3444830.5512058334 | -3447558.755404584 | -3450286.9596033352 | -3453015.163802086 | -3720954.5200144304 | -6612581.311948841 | -6618622.71189613 | -6624664.1118434165 | -3466656.18479584 | -6636746.911737991
 | (+) | Crédito de PIS e COFINS |  | 372613.2055461699 | 372613.2055461699 | 372613.2055461699 | 372613.2055461699 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 461999.24519365904 | 461999.24519365904 | 461999.24519365904 | 0 | 461999.24519365904
 | Receita Operacional Líquida |  |  | 41549254.62541356 | 45099834.12413671 | 46253003.50237501 | 46954149.60581365 | 50035395.319501616 | 50475993.1760237 | 50824318.25430192 | 51034952.60318194 | 58593471.01621214 | 57756206.369928524 | 51666784.89082892 | 51793430.53040571 | 51920076.16998248 | 52046721.80955924 | 52173367.449136004 | 52300702.5166394 | 59357986.329498865 | 52413574.52783248 | 52470010.53342902 | 53896008.510544375 | 52582736.60962581 | 52639172.61522236 | 52695608.620818906 | 52752044.62641545 | 59809328.43927493 | 50172806.143052936 | 50225928.95290094 | 50279051.76274895 | 53034224.654398166 | 50385297.382444955
 | (-) | Despesas Operacionais |  | -52367357.71946507 | -44665486.69930425 | -40939721.78981164 | -40918567.17024941 | -29805874.48830361 | -29543409.96420994 | -29551248.48440243 | -32869329.43549275 | -32379767.67106893 | -32494469.184645817 | -34073961.23583852 | -34014613.18391058 | -34023099.693472944 | -34038041.770653635 | -34196298.17381264 | -34049356.348610476 | -34104796.764545985 | -34059625.536734246 | -34053181.77805427 | -34210015.629112035 | -34080356.71150495 | -34057770.28190828 | -34076527.80767237 | -34069630.071329206 | -34256020.91775781 | -34070241.934339166 | -34065345.70658629 | -34066851.44686916 | -34074253.98226779 | -34222741.42006917
 | EBTIDA |  |  | -10818103.09405151 | 434347.4248324558 | 5313281.712563366 | 6035582.435564242 | 20229520.831198007 | 20932583.21181376 | 21273069.76989949 | 18165623.167689193 | 26213703.345143214 | 25261737.185282707 | 17592823.654990405 | 17778817.34649513 | 17896976.476509534 | 18008680.038905606 | 17977069.27532336 | 18251346.16802892 | 25253189.56495288 | 18353948.991098233 | 18416828.755374752 | 19685992.88143234 | 18502379.898120858 | 18581402.333314076 | 18619080.81314654 | 18682414.55508624 | 25553307.52151712 | 16102564.20871377 | 16160583.246314652 | 16212200.315879792 | 18959970.672130376 | 16162555.962375782
