 | Demonstrativo de Receitas
 |  |  |  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30
 |  | RSD
 |  | Quantidade Coletada RSD (t/ano) |  | 70821.69933 | 71150.65513099999 | 71479.61093200001 | 71808.566733 | 72137.52253400002 | 72466.212598 | 72752.04951900002 | 73037.88644 | 73323.72336100001 | 73609.560282 | 73894.872302 | 74060.079649 | 74225.286996 | 74390.494343 | 74555.70169000002 | 74721.693728 | 74788.09699099998 | 74854.50025399998 | 74920.903517 | 74987.30678000001 | 75053.91411900001 | 75120.31738199998 | 75186.72064499998 | 75253.123908 | 75319.527171 | 75385.930434 | 75452.333697 | 75518.73696 | 75585.14022299998 | 75651.543486
 |  | Quantidade Consumo água (m3/ano) |  | 15319526.844905471 | 15389496.824053632 | 15459466.803201793 | 15529436.782349955 | 15599406.761498114 | 15669358.187696127 | 15729664.155035082 | 15789970.122374037 | 15850276.089712994 | 15910582.057051951 | 15970854.239900773 | 16005211.602199193 | 16039568.964497613 | 16073926.326796032 | 16108283.68909445 | 16142871.489447875 | 16155826.271367189 | 16168781.053286506 | 16181735.835205821 | 16194690.617125131 | 16207602.976648573 | 16220557.758567888 | 16233512.540487202 | 16246467.322406515 | 16259422.10432583 | 16272376.886245146 | 16285331.66816446 | 16298286.450083774 | 16311241.232003089 | 16324196.013922404
 |  | Tarifa-Base Referencial (R$/m3 ) |  | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074 | 2.8567488023289074
 |  | Arapuá |  | 537260.1875116698 | 534209.883646161 | 531159.5797806517 | 528109.2759151427 | 525058.9720496336 | 522008.66818412446 | 518144.9499544795 | 514281.23172483477 | 510417.51349518984 | 506553.79526554496 | 503096.78421796806 | 498623.0052152213 | 494149.2262124746 | 489675.44720972795 | 485201.6682069812 | 480931.2427952686 | 476254.11020148784 | 471576.9776077073 | 466899.8450139266 | 462222.712420146 | 457138.87264429755 | 452461.74005051696 | 447784.60745673627 | 443107.47486295557 | 438430.342269175 | 433753.2096753944 | 429076.07708161377 | 424398.9444878331 | 419721.8118940526 | 415044.6793002719
 |  | Social |  | 76157.51196022623 | 75725.12638891535 | 75292.74081760444 | 74860.35524629356 | 74427.96967498264 | 73995.58410367175 | 73447.89571334461 | 72900.20732301749 | 72352.51893269033 | 71804.8305423632 | 71314.79356154418 | 70680.62805695487 | 70046.46255236554 | 69412.29704777623 | 68778.1315431869 | 68172.79174335164 | 67509.80053400827 | 66846.8093246649 | 66183.81811532151 | 65520.82690597814 | 64800.18428712664 | 64137.19307778327 | 63474.201868439886 | 62811.210659096505 | 62148.21944975314 | 61485.22824040976 | 60822.23703106637 | 60159.245821723 | 59496.25461237963 | 58833.263403036246
 |  | Residencial (Fixa) |  | 14864.623385228831 | 14780.22923277674 | 14695.835080324647 | 14611.440927872552 | 14527.046775420455 | 14442.652622968364 | 14335.75336319571 | 14228.854103423058 | 14121.954843650405 | 14015.05558387775 | 13919.40887776538 | 13795.630787502309 | 13671.852697239236 | 13548.074606976168 | 13424.296516713095 | 13306.144703280163 | 13176.740336186953 | 13047.335969093741 | 12917.931602000528 | 12788.52723490732 | 12647.87031415383 | 12518.46594706062 | 12389.061579967409 | 12259.657212874195 | 12130.252845780988 | 12000.848478687776 | 11871.444111594565 | 11742.039744501353 | 11612.635377408144 | 11483.231010314932
 |  | Residencial (0 a 5 m³) |  | 64975.66982954665 | 64606.769357387995 | 64237.86888522932 | 63868.96841307067 | 63500.06794091199 | 63131.16746875332 | 62663.89353735234 | 62196.61960595137 | 61729.34567455039 | 61262.07174314941 | 60843.984541369595 | 60302.93051553688 | 59761.87648970416 | 59220.822463871446 | 58679.76843803873 | 58163.307777016606 | 57597.66038637331 | 57032.012995730016 | 56466.36560508673 | 55900.718214443434 | 55285.88409417899 | 54720.2367035357 | 54154.589312892414 | 53588.94192224913 | 53023.29453160583 | 52457.647140962545 | 51891.99975031925 | 51326.352359675955 | 50760.70496903267 | 50195.05757838939
 |  | Residencial (> 5m³ a 10m³) |  | 93426.58529996505 | 92896.15427063144 | 92365.72324129778 | 91835.29221196414 | 91304.8611826305 | 90774.43015329687 | 90102.55084947425 | 89430.67154565165 | 88758.79224182903 | 88086.91293800641 | 87485.75777142831 | 86707.79226173896 | 85929.82675204962 | 85151.86124236029 | 84373.89573267094 | 83631.29229160385 | 82817.96471329227 | 82004.63713498069 | 81191.3095566691 | 80377.98197835752 | 79493.93026280146 | 78680.60268448989 | 77867.2751061783 | 77053.94752786672 | 76240.61994955514 | 75427.29237124354 | 74613.96479293198 | 73800.6372146204 | 72987.30963630883 | 72173.98205799724
 |  | Residencial (> 10m³ a 15m³) |  | 107680.99792368176 | 107069.63722388798 | 106458.27652409418 | 105846.91582430039 | 105235.55512450657 | 104624.19442471277 | 103849.80420497395 | 103075.41398523514 | 102301.02376549633 | 101526.63354575749 | 100833.7580859912 | 99937.09572629361 | 99040.43336659601 | 98143.77100689847 | 97247.10864720088 | 96391.20366748956 | 95453.7839278057 | 94516.3641881219 | 93578.94444843807 | 92641.52470875422 | 91622.59020909789 | 90685.17046941406 | 89747.75072973024 | 88810.3309900464 | 87872.91125036257 | 86935.49151067874 | 85998.07177099491 | 85060.65203131108 | 84123.23229162725 | 83185.81255194343
