 |  | Garantias e Seguros
 |  | Ano |  |  | Total | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30
 |  |  | Garantia de Execução do Contrato |  | 2111446.931929604 | 174339.87240872538 | 168796.11823943787 | 163225.79344355888 | 157628.89802108836 | 152005.43197202642 | 146355.395296373 | 140678.79395678345 | 134978.67641297542 | 129255.04266494882 | 123507.89271270369 | 58868.61327812004 | 55971.52595411597 | 53067.38794843036 | 50156.199261063215 | 47237.95989201454 | 44312.66984128435 | 41380.290818871166 | 38444.796912215235 | 35506.188121316576 | 32564.464446175178 | 29619.62588679104 | 26671.680277204254 | 23720.61978337473 | 20766.444405302467 | 17809.154142987463 | 14848.748996429727 | 11885.228965629258 | 8918.594050586047 | 5948.8442513001 | 2975.9795677714183
 |  |  | Risco de Engenharia  |  | 507387.0538800001 | 156779.5757325 | 24167.2671975 | 14184.765735 | 7977.525086999999 | 243.28220000000005 | 505.17292 | 11336.301060000002 | 280.04151 | 48785.72419000001 | 4736.259535 | 61941.702172 | 0 | 0 | 562.7082999999999 | 11579.583260000001 | 785.21443 | 48785.72419000001 | 7977.525086999999 | 0 | 4736.259535 | 24110.859185 | 0 | 11336.301060000002 | 8820.274897 | 49029.00639 | 505.17292 | 0 | 0 | 0 | 8220.807287
 |  |  | Responsabilidade Civil |  | 825000 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500
 |  |  | Riscos Nomeados ou Riscos Operacionais  |  | 337500 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250
 |  | Total |  |  | 3781333.9858096046 | 369869.4481412254 | 231713.38543693788 | 216160.55917855888 | 204356.42310808835 | 190998.7141720264 | 185610.568216373 | 190765.09501678345 | 174008.71792297543 | 216790.76685494883 | 166994.1522477037 | 159560.31545012005 | 94721.52595411596 | 91817.38794843036 | 89468.90756106321 | 97567.54315201455 | 83847.88427128435 | 128916.01500887118 | 85172.32199921523 | 74256.18812131658 | 76050.72398117518 | 92480.48507179104 | 65421.68027720426 | 73806.92084337473 | 68336.71930230246 | 105588.16053298747 | 54103.921916429725 | 50635.228965629256 | 47668.59405058605 | 44698.8442513001 | 49946.78685477142
 |  | CAPEX referência para o cálculo do Risco de Engenharia |  |  |  | 44794164.495 | 6904933.485 | 4052790.21 | 2279292.8819999998 | 69509.20000000001 | 144335.12 | 3238943.16 | 80011.86 | 13938778.340000002 | 1353217.01 | 17697629.191999998 | 0 | 0 | 160773.79999999996 | 3308452.3600000003 | 224346.97999999998 | 13938778.340000002 | 2279292.8819999998 | 0 | 1353217.01 | 6888816.91 | 0 | 3238943.16 | 2520078.542 | 14008287.540000001 | 144335.12 | 0 | 0 | 0 | 2348802.082
 |  | CAPEX anual estimado |  |  |  | 44794164.495 | 6904933.485 | 4052790.21 | 2279292.8819999998 | 69509.20000000001 | 144335.12 | 3238943.16 | 80011.86 | 13938778.340000002 | 1353217.01 | 17697629.191999998 | 0 | 0 | 160773.79999999996 | 3308452.3600000003 | 224346.97999999998 | 13938778.340000002 | 2279292.8819999998 | 0 | 1353217.01 | 6888816.91 | 0 | 3238943.16 | 2520078.542 | 14008287.540000001 | 144335.12 | 0 | 0 | 0 | 2348802.082
 |  | CAPEX anual estimado acumulado |  |  |  | 44794164.495 | 51699097.98 | 55751888.19 | 58031181.072 | 58100690.272 | 58245025.392 | 61483968.552 | 61563980.412 | 75502758.752 | 76855975.76200001 | 94553604.95400001 | 94553604.95400001 | 94553604.95400001 | 94714378.75400001 | 98022831.11400001 | 98247178.09400001 | 112185956.43400002 | 114465249.31600001 | 114465249.31600001 | 115818466.32600002 | 122707283.23600002 | 122707283.23600002 | 125946226.39600001 | 128466304.93800001 | 142474592.47800002 | 142618927.59800002 | 142618927.59800002 | 142618927.59800002 | 142618927.59800002 | 144967729.68
 |  | Valor do contrato (restante) |  |  |  | 1743398724.0872536 | 1687961182.3943787 | 1632257934.4355886 | 1576288980.2108836 | 1520054319.720264 | 1463553952.9637296 | 1406787939.5678344 | 1349786764.1297538 | 1292550426.6494882 | 1235078927.1270368 | 1177372265.5624008 | 1119430519.0823193 | 1061347758.9686071 | 1003123985.2212641 | 944759197.8402908 | 886253396.8256869 | 827605816.3774232 | 768895938.2443047 | 710123762.4263314 | 651289288.9235035 | 592392517.7358208 | 533433605.544085 | 474412395.6674945 | 415328888.10604924 | 356183082.85974926 | 296974979.9285945 | 237704579.31258512 | 178371881.01172093 | 118976885.026002 | 59519591.35542836
[11 linhas]
