 | Demonstrativo do Resultado do Exercício - DRE
 | Valores em R$
 | Ano |  |  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30
 | (+) | Receita da tarifa de remuneração |  | 51699269.11834768 | 51947609.19073459 | 52195949.2631215 | 52444289.335508384 | 52692629.40789531 | 52940923.83530923 | 53160994.70680394 | 53381065.57829864 | 53601136.44979335 | 53821207.321288064 | 54041228.67099988 | 54173518.39497182 | 54305808.11894375 | 54438097.842915684 | 54570387.56688761 | 54703401.62541504 | 54762191.12154558 | 54820980.61767611 | 54879770.113806635 | 54938559.609937154 | 54997181.74955353 | 55055971.24568406 | 55114760.74181459 | 55173550.237945125 | 55232339.734075636 | 55291129.23020617 | 55349918.726336695 | 55408708.22246722 | 55467497.71859775 | 55526287.21472829
 | (-)  | Inadimplência |  | -8592166.405066723 | -4940231.595103347 | -3929267.0967158424 | -3416248.293429418 | -3161248.9036283423 | -2963751.308369042 | -2832614.1570129176 | -2844340.3459147643 | -2856066.5348166116 | -2867792.723718459 | -2879516.2739167963 | -2886565.1590442653 | -2893614.0441717342 | -2900662.9292992027 | -2907711.814426671 | -2914799.2947747074 | -2917931.8162773894 | -2921064.337780071 | -2924196.859282752 | -2927329.3807854326 | -2930452.9849148807 | -2933585.506417562 | -2936718.027920244 | -2939850.5494229253 | -2942983.0709256055 | -2946115.592428287 | -2949248.1139309686 | -2952380.6354336496 | -2955513.1569363307 | -2958645.6784390127
 | (+) | Receita RPU |  | 3722524.9477499817 | 3739815.498351199 | 3757106.048952416 | 3774396.599553634 | 3791687.1501548514 | 3808963.7331074337 | 3823987.8723116135 | 3839012.0115157943 | 3854036.1507199747 | 3869060.2899241555 | 3884056.8393206056 | 3892740.455734461 | 3901424.072148316 | 3910107.6885621706 | 3918791.3049760256 | 3927516.1662604697 | 3931006.449683037 | 3934496.7331056036 | 3937987.0165281706 | 3941477.2999507375 | 3944978.310000996 | 3948468.593423563 | 3951958.87684613 | 3955449.160268696 | 3958939.443691263 | 3962429.72711383 | 3965920.0105363964 | 3969410.293958964 | 3972900.57738153 | 3976390.860804096
 | (+) | Outras Receitas |  | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 7626241.893253908 | 6799518.841762361 | 0 | 0 | 0 | 0 | 0 | 0 | 7266058.959276527 | 0 | 0 | 1682317.9102961456 | 0 | 0 | 0 | 0 | 7266058.959276527 | 0 | 0 | 0 | 0 | 0
 | Receita Operacional Bruta |  |  | 46829627.66103094 | 50747193.09398244 | 52023788.21535807 | 52802437.6416326 | 53323067.65442182 | 53786136.26004762 | 54152368.42210264 | 54375737.24389967 | 62225347.95895063 | 61621993.72925612 | 55045769.23640369 | 55179693.69166201 | 55313618.14692033 | 55447542.60217865 | 55581467.057436965 | 55716118.4969008 | 63041324.71422776 | 55834413.013001636 | 55893560.27105205 | 57635025.4393986 | 56011707.07463964 | 56070854.33269005 | 56130001.59074047 | 56189148.84879089 | 63514355.066117816 | 56307443.36489171 | 56366590.62294212 | 56425737.88099253 | 56484885.13904294 | 56544032.39709337
 | (-) | Impostos sobre Receitas |  | -5664525.377241064 | -6032587.178342119 | -6156359.225622405 | -6234071.296105839 | -3301824.7821942624 | -3324424.702909232 | -3342433.509654806 | -3355227.804480965 | -3646379.928410891 | -3628998.8318576077 | -3393606.961349072 | -3400921.8368471237 | -3408236.7123451754 | -3415551.5878432267 | -3422866.463341278 | -3430219.0930778845 | -3698157.6633843402 | -3435673.929663608 | -3438401.3479564684 | -3502533.3699751385 | -3443854.359772047 | -3446581.7780649085 | -3449309.19635777 | -3452036.6146506313 | -3719975.184957085 | -6610708.279670289 | -6616747.944413973 | -6622787.609157656 | -3465673.706114936 | -6634866.938645028
 | (+) | Crédito de PIS e COFINS |  | 372613.2055461699 | 372613.2055461699 | 372613.2055461699 | 372613.2055461699 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 461999.24519365904 | 461999.24519365904 | 461999.24519365904 | 0 | 461999.24519365904
 | Receita Operacional Líquida |  |  | 41537715.48933604 | 45087219.121186495 | 46240042.19528183 | 46940979.55107293 | 50021242.87222756 | 50461711.55713839 | 50809934.91244783 | 51020509.43941871 | 58578968.03053974 | 57992994.89739852 | 51652162.27505462 | 51778771.85481489 | 51905381.434575155 | 52031991.01433542 | 52158600.594095685 | 52285899.403822914 | 59343167.05084342 | 52398739.08333803 | 52455158.92309558 | 54132492.06942347 | 52567852.71486759 | 52624272.554625146 | 52680692.3943827 | 52737112.23414026 | 59794379.88116073 | 50158734.33041508 | 50211841.923721805 | 50264949.51702853 | 53019211.43292801 | 50371164.703642
 | (-) | Despesas Operacionais |  | -52367308.187345766 | -44665438.74194763 | -40939675.41478199 | -40918522.38511102 | -29805831.300620776 | -29543368.38154695 | -29551208.51432219 | -32869291.084698413 | -32379730.946263634 | -32494434.092532713 | -34073944.50947964 | -34014597.28060018 | -34023084.6152257 | -34038027.51948421 | -34196284.75173569 | -34049343.75764066 | -34104785.006708995 | -34059614.61292535 | -34053171.68916873 | -34210006.37604513 | -34080348.295151934 | -34057762.703161865 | -34076521.06742783 | -34069624.170481816 | -34256015.85720282 | -34070237.71497184 | -34065342.32930189 | -34066848.91256297 | -34074252.29183507 | -34222740.57440518
 | EBTIDA |  |  | -10829592.698009722 | 421780.37923886627 | 5300366.780499846 | 6022457.165961914 | 20215411.57160678 | 20918343.17559144 | 21258726.39812564 | 18151218.3547203 | 26199237.08427611 | 25498560.804865804 | 17578217.765574977 | 17764174.574214704 | 17882296.819349453 | 17993963.494851217 | 17962315.842359997 | 18236555.646182254 | 25238382.044134423 | 18339124.47041268 | 18401987.233926848 | 19922485.693378337 | 18487504.419715658 | 18566509.85146328 | 18604171.32695487 | 18667488.063658446 | 25538364.02395791 | 16088496.615443237 | 16146499.594419912 | 16198100.604465567 | 18944959.14109294 | 16148424.129236825
