 | Geração RSU
 | Dados Gerais - Geração RSU
 | Municípios |  | Geração per Capita RSD
(Kg/hab/dia) | Geração per Capita RPU
(Kg/hab/dia) | Geração per Capita RSU
(Kg/hab/dia)
 | Arapuá |  | 0.681 | 0.160035 | 0.8410350000000001
 | Coromandel |  | 0.697 | 0.16379499999999997 | 0.860795
 | Cruzeiro da Fortaleza |  | 0.681 | 0.160035 | 0.8410350000000001
 | Guimarânia |  | 0.654 | 0.15369 | 0.80769
 | Lagoa Formosa |  | 0.697 | 0.16379499999999997 | 0.860795
 | Patos de Minas |  | 0.86 | 0.20209999999999997 | 1.0621
 | Presidente Olegário |  | 0.697 | 0.16379499999999997 | 0.860795
 | Rio Paranaíba |  | 0.697 | 0.16379499999999997 | 0.860795
 | Serra do Salitre |  | 0.697 | 0.16379499999999997 | 0.860795
 |  | -0.005066433294602379
 | População Total (hab.)
 | Municípios |  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30
 | Arapuá |  | 2642 | 2627 | 2612 | 2597 | 2582 | 2567 | 2548 | 2529 | 2510 | 2491 | 2474 | 2452 | 2430 | 2408 | 2386 | 2365 | 2342 | 2319 | 2296 | 2273 | 2248 | 2225 | 2202 | 2179 | 2156 | 2133 | 2110 | 2087 | 2064 | 2041
 | Coromandel |  | 30204 | 30221 | 30238 | 30255 | 30272 | 30291 | 30246 | 30201 | 30156 | 30111 | 30066 | 29979 | 29892 | 29805 | 29718 | 29629 | 29504 | 29379 | 29254 | 29129 | 29005 | 28880 | 28755 | 28630 | 28505 | 28380 | 28255 | 28130 | 28005 | 27880
 | Cruzeiro da Fortaleza |  | 3646 | 3650 | 3654 | 3658 | 3662 | 3668 | 3667 | 3666 | 3665 | 3664 | 3661 | 3653 | 3645 | 3637 | 3629 | 3622 | 3610 | 3598 | 3586 | 3574 | 3562 | 3550 | 3538 | 3526 | 3514 | 3502 | 3490 | 3478 | 3466 | 3454
 | Guimarânia |  | 9071 | 9155 | 9239 | 9323 | 9407 | 9490 | 9563 | 9636 | 9709 | 9782 | 9854 | 9912 | 9970 | 10028 | 10086 | 10146 | 10188 | 10230 | 10272 | 10314 | 10354 | 10396 | 10438 | 10480 | 10522 | 10564 | 10606 | 10648 | 10690 | 10732
 | Lagoa Formosa |  | 19814 | 19899 | 19984 | 20069 | 20154 | 20238 | 20287 | 20336 | 20385 | 20434 | 20485 | 20504 | 20523 | 20542 | 20561 | 20582 | 20570 | 20558 | 20546 | 20534 | 20522 | 20510 | 20498 | 20486 | 20474 | 20462 | 20450 | 20438 | 20426 | 20414
 | Patos de Minas |  | 172460 | 173387 | 174314 | 175241 | 176168 | 177094 | 178023 | 178952 | 179881 | 180810 | 181737 | 182362 | 182987 | 183612 | 184237 | 184861 | 185238 | 185615 | 185992 | 186369 | 186745 | 187122 | 187499 | 187876 | 188253 | 188630 | 189007 | 189384 | 189761 | 190138
 | Presidente Olegário |  | 19112 | 19061 | 19010 | 18959 | 18908 | 18855 | 18766 | 18677 | 18588 | 18499 | 18409 | 18287 | 18165 | 18043 | 17921 | 17797 | 17665 | 17533 | 17401 | 17269 | 17139 | 17007 | 16875 | 16743 | 16611 | 16479 | 16347 | 16215 | 16083 | 15951
 | Rio Paranaíba |  | 15453 | 15587 | 15721 | 15855 | 15989 | 16121 | 16227 | 16333 | 16439 | 16545 | 16652 | 16737 | 16822 | 16907 | 16992 | 17078 | 17133 | 17188 | 17243 | 17298 | 17354 | 17409 | 17464 | 17519 | 17574 | 17629 | 17684 | 17739 | 17794 | 17849
 | Serra do Salitre |  | 12601 | 12712 | 12823 | 12934 | 13045 | 13158 | 13252 | 13346 | 13440 | 13534 | 13627 | 13693 | 13759 | 13825 | 13891 | 13959 | 14007 | 14055 | 14103 | 14151 | 14201 | 14249 | 14297 | 14345 | 14393 | 14441 | 14489 | 14537 | 14585 | 14633
 | Total |  | 285003 | 286299 | 287595 | 288891 | 290187 | 291482 | 292579 | 293676 | 294773 | 295870 | 296965 | 297579 | 298193 | 298807 | 299421 | 300039 | 300257 | 300475 | 300693 | 300911 | 301130 | 301348 | 301566 | 301784 | 302002 | 302220 | 302438 | 302656 | 302874 | 303092
 | Geração RSD (tonelada/ano)
 | Municípios |  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30
 | Arapuá |  | 563.150226 | 559.952931 | 556.7556360000001 | 553.558341 | 550.361046 | 547.163751 | 543.1138440000001 | 539.063937 | 535.01403 | 530.964123 | 527.340522 | 522.651156 | 517.9617900000001 | 513.272424 | 508.58305800000005 | 504.106845 | 499.204326 | 494.30180700000005 | 489.399288 | 484.49676900000003 | 479.16794400000003 | 474.26542500000005 | 469.362906 | 464.460387 | 459.55786800000004 | 454.65534900000006 | 449.75283 | 444.85031100000003 | 439.947792 | 435.045273
 | Coromandel |  | 6589.334844 | 6593.043581 | 6596.752318 | 6600.461054999999 | 6604.169792 | 6608.314850999999 | 6598.497606 | 6588.680361 | 6578.863116 | 6569.045870999999 | 6559.228625999999 | 6540.248618999999 | 6521.268612 | 6502.288605 | 6483.3085980000005 | 6463.892268999999 | 6436.622143999999 | 6409.352018999999 | 6382.081893999999 | 6354.811768999999 | 6327.759804999999 | 6300.489679999999 | 6273.219554999999 | 6245.949429999999 | 6218.679304999999 | 6191.409179999999 | 6164.139054999999 | 6136.868929999999 | 6109.598804999999 | 6082.328679999999
 | Cruzeiro da Fortaleza |  | 777.1558380000001 | 778.00845 | 778.8610620000001 | 779.713674 | 780.5662860000001 | 781.8452040000002 | 781.632051 | 781.418898 | 781.2057450000001 | 780.9925920000001 | 780.3531330000001 | 778.6479090000001 | 776.9426850000001 | 775.237461 | 773.5322370000001 | 772.0401660000001 | 769.48233 | 766.9244940000001 | 764.366658 | 761.8088220000001 | 759.250986 | 756.6931500000001 | 754.135314 | 751.577478 | 749.019642 | 746.461806 | 743.90397 | 741.346134 | 738.7882979999999 | 736.230462
