 | Demonstrativo de Receitas
 |  |  |  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30
 |  | RSD
 |  | Quantidade Coletada RSD (t/ano) |  | 70821.69933 | 71150.65513099999 | 71479.61093200001 | 71808.566733 | 72137.52253400002 | 72466.212598 | 72752.04951900002 | 73037.88644 | 73323.72336100001 | 73609.560282 | 73894.872302 | 74060.079649 | 74225.286996 | 74390.494343 | 74555.70169000002 | 74721.693728 | 74788.09699099998 | 74854.50025399998 | 74920.903517 | 74987.30678000001 | 75053.91411900001 | 75120.31738199998 | 75186.72064499998 | 75253.123908 | 75319.527171 | 75385.930434 | 75452.333697 | 75518.73696 | 75585.14022299998 | 75651.543486
 |  | Quantidade Consumo água (m3/ano) |  | 15319526.844905471 | 15389496.824053632 | 15459466.803201793 | 15529436.782349955 | 15599406.761498114 | 15669358.187696127 | 15729664.155035082 | 15789970.122374037 | 15850276.089712994 | 15910582.057051951 | 15970854.239900773 | 16005211.602199193 | 16039568.964497613 | 16073926.326796032 | 16108283.68909445 | 16142871.489447875 | 16155826.271367189 | 16168781.053286506 | 16181735.835205821 | 16194690.617125131 | 16207602.976648573 | 16220557.758567888 | 16233512.540487202 | 16246467.322406515 | 16259422.10432583 | 16272376.886245146 | 16285331.66816446 | 16298286.450083774 | 16311241.232003089 | 16324196.013922404
 |  | Tarifa-Base Referencial (R$/m3 ) |  | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295 | 2.855879456931295
 |  | Arapuá |  | 537096.6923275805 | 534047.316708764 | 530997.9410899472 | 527948.5654711307 | 524899.1898523138 | 521849.81423349713 | 517987.2717829961 | 514124.7293324949 | 510262.1868819937 | 506399.64443149255 | 502943.6853968336 | 498471.2678225691 | 493998.8502483046 | 489526.4326740402 | 485054.0150997757 | 480784.8892334323 | 476109.1799512467 | 471433.4706690611 | 466757.7613868755 | 462082.0521046899 | 456999.7594066621 | 452324.0501244765 | 447648.34084229096 | 442972.63156010536 | 438296.9222779197 | 433621.21299573407 | 428945.5037135486 | 424269.79443136294 | 419594.0851491773 | 414918.3758669918
 |  | Social |  | 76134.33624997048 | 75702.08225914932 | 75269.82826832813 | 74837.57427750697 | 74405.32028668576 | 73973.0662958646 | 73425.54457415776 | 72878.02285245094 | 72330.5011307441 | 71782.97940903727 | 71293.09155277327 | 70659.1190329022 | 70025.14651303114 | 69391.17399316009 | 68757.20147328901 | 68152.04588613936 | 67489.25643354689 | 66826.46698095441 | 66163.67752836194 | 65500.888075769464 | 64780.46475773416 | 64117.67530514169 | 63454.88585254921 | 62792.09639995673 | 62129.30694736426 | 61466.51749477178 | 60803.728042179304 | 60140.93858958683 | 59478.14913699436 | 58815.35968440188
 |  | Residencial (Fixa) |  | 14860.099889177425 | 14775.731418951214 | 14691.362948724998 | 14606.994478498782 | 14522.626008272564 | 14438.257538046351 | 14331.390809093144 | 14224.524080139938 | 14117.65735118673 | 14010.790622233524 | 13915.173022643814 | 13791.432599645364 | 13667.692176646913 | 13543.951753648467 | 13420.211330650018 | 13302.095472333314 | 13172.730484653117 | 13043.365496972921 | 12914.000509292722 | 12784.635521612527 | 12644.021404568834 | 12514.656416888638 | 12385.29142920844 | 12255.926441528241 | 12126.561453848046 | 11997.196466167848 | 11867.831478487651 | 11738.466490807454 | 11609.101503127258 | 11479.736515447059
 |  | Residencial (0 a 5 m³) |  | 64955.89689764691 | 64587.1086866459 | 64218.32047564487 | 63849.532264643865 | 63480.744053642826 | 63111.95584264181 | 62644.82410870717 | 62177.69237477255 | 61710.560640837924 | 61243.42890690329 | 60825.46893443547 | 60284.57955830063 | 59743.690182165796 | 59202.80080603096 | 58661.91142989612 | 58145.6079344947 | 57580.13267762646 | 57014.65742075822 | 56449.182163889986 | 55883.70690702175 | 55269.05988868671 | 54703.58463181848 | 54138.10937495025 | 53572.63411808201 | 53007.15886121377 | 52441.68360434554 | 51876.208347477295 | 51310.73309060906 | 50745.25783374083 | 50179.78257687259
 |  | Residencial (> 5m³ a 10m³) |  | 93398.15438861612 | 92867.88477626594 | 92337.61516391572 | 91807.34555156552 | 91277.07593921531 | 90746.8063268651 | 90075.13148455485 | 89403.4566422446 | 88731.78179993432 | 88060.10695762406 | 87459.13473029384 | 86681.40596551354 | 85903.67720073322 | 85125.94843595293 | 84348.21967117263 | 83605.84221388234 | 82792.76214161202 | 81979.68206934171 | 81166.6019970714 | 80353.52192480107 | 79469.73923755073 | 78656.65916528043 | 77843.57909301012 | 77030.4990207398 | 76217.41894846948 | 75404.33887619917 | 74591.25880392885 | 73778.17873165854 | 72965.09865938823 | 72152.01858711791
 |  | Residencial (> 10m³ a 15m³) |  | 107648.22921126331 | 107037.05455639242 | 106425.8799015215 | 105814.70524665061 | 105203.53059177968 | 104592.35593690876 | 103818.20137407228 | 103044.04681123579 | 102269.89224839931 | 101495.7376855628 | 100803.07307670912 | 99906.68358289843 | 99010.29408908775 | 98113.90459527711 | 97217.51510146642 | 96361.87058464716 | 95424.73611384507 | 94487.60164304302 | 93550.46717224094 | 92613.33270143888 | 91594.70827665404 | 90657.57380585196 | 89720.4393350499 | 88783.30486424784 | 87846.17039344576 | 86909.03592264371 | 85971.90145184164 | 85034.76698103957 | 84097.63251023751 | 83160.49803943546
