 |  | Garantias e Seguros
 |  | Ano |  |  | Total | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30
 |  |  | Garantia de Execução do Contrato |  | 2110847.01461483 | 174290.34028942452 | 168748.16088281476 | 163179.4184139062 | 157584.11288269877 | 151962.2442891926 | 146313.81263338757 | 140638.82387654588 | 134940.32561863432 | 129218.3178596529 | 123472.80059960157 | 58851.88691924017 | 55955.622643724135 | 53052.30970118883 | 50141.94809163422 | 47224.537815060336 | 44300.07887146714 | 41368.53298188338 | 38433.873103321945 | 35496.099235782865 | 32555.21137926613 | 29611.209533771733 | 26664.101530794007 | 23713.879538838624 | 20760.543557905585 | 17804.093587994892 | 14844.529629106546 | 11881.851681240549 | 8916.059744396893 | 5947.1538185755835 | 2975.1339037766197
 |  |  | Risco de Engenharia  |  | 507387.0538800001 | 156779.5757325 | 24167.2671975 | 14184.765735 | 7977.525086999999 | 243.28220000000005 | 505.17292 | 11336.301060000002 | 280.04151 | 48785.72419000001 | 4736.259535 | 61941.702172 | 0 | 0 | 562.7082999999999 | 11579.583260000001 | 785.21443 | 48785.72419000001 | 7977.525086999999 | 0 | 4736.259535 | 24110.859185 | 0 | 11336.301060000002 | 8820.274897 | 49029.00639 | 505.17292 | 0 | 0 | 0 | 8220.807287
 |  |  | Responsabilidade Civil |  | 825000 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500 | 27500
 |  |  | Riscos Nomeados ou Riscos Operacionais  |  | 337500 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250 | 11250
 |  | Total |  |  | 3780734.0684948284 | 369819.9160219245 | 231665.42808031477 | 216114.1841489062 | 204311.63796969876 | 190955.5264891926 | 185568.98555338758 | 190725.12493654588 | 173970.36712863433 | 216754.0420496529 | 166959.06013460158 | 159543.58909124017 | 94705.62264372414 | 91802.30970118883 | 89454.65639163423 | 97554.12107506033 | 83835.29330146714 | 128904.2571718834 | 85161.39819032195 | 74246.09923578287 | 76041.47091426613 | 92472.06871877174 | 65414.10153079401 | 73800.18059883863 | 68330.81845490559 | 105583.09997799489 | 54099.70254910654 | 50631.85168124055 | 47666.059744396895 | 44697.153818575585 | 49945.94119077662
 |  | CAPEX referência para o cálculo do Risco de Engenharia |  |  |  | 44794164.495 | 6904933.485 | 4052790.21 | 2279292.8819999998 | 69509.20000000001 | 144335.12 | 3238943.16 | 80011.86 | 13938778.340000002 | 1353217.01 | 17697629.191999998 | 0 | 0 | 160773.79999999996 | 3308452.3600000003 | 224346.97999999998 | 13938778.340000002 | 2279292.8819999998 | 0 | 1353217.01 | 6888816.91 | 0 | 3238943.16 | 2520078.542 | 14008287.540000001 | 144335.12 | 0 | 0 | 0 | 2348802.082
 |  | CAPEX anual estimado |  |  |  | 44794164.495 | 6904933.485 | 4052790.21 | 2279292.8819999998 | 69509.20000000001 | 144335.12 | 3238943.16 | 80011.86 | 13938778.340000002 | 1353217.01 | 17697629.191999998 | 0 | 0 | 160773.79999999996 | 3308452.3600000003 | 224346.97999999998 | 13938778.340000002 | 2279292.8819999998 | 0 | 1353217.01 | 6888816.91 | 0 | 3238943.16 | 2520078.542 | 14008287.540000001 | 144335.12 | 0 | 0 | 0 | 2348802.082
 |  | CAPEX anual estimado acumulado |  |  |  | 44794164.495 | 51699097.98 | 55751888.19 | 58031181.072 | 58100690.272 | 58245025.392 | 61483968.552 | 61563980.412 | 75502758.752 | 76855975.76200001 | 94553604.95400001 | 94553604.95400001 | 94553604.95400001 | 94714378.75400001 | 98022831.11400001 | 98247178.09400001 | 112185956.43400002 | 114465249.31600001 | 114465249.31600001 | 115818466.32600002 | 122707283.23600002 | 122707283.23600002 | 125946226.39600001 | 128466304.93800001 | 142474592.47800002 | 142618927.59800002 | 142618927.59800002 | 142618927.59800002 | 142618927.59800002 | 144967729.68
 |  | Valor do contrato (restante) |  |  |  | 1742903402.894245 | 1687481608.8281476 | 1631794184.139062 | 1575841128.8269877 | 1519622442.8919258 | 1463138126.3338757 | 1406388238.7654588 | 1349403256.1863432 | 1292183178.596529 | 1234728005.9960155 | 1177037738.3848033 | 1119112452.8744826 | 1061046194.0237765 | 1002838961.8326844 | 944490756.3012066 | 886001577.4293429 | 827370659.6376675 | 768677462.0664389 | 709921984.7156572 | 651104227.5853225 | 592224190.6754346 | 533282030.6158801 | 474277590.77677244 | 415210871.1581117 | 356081871.7598978 | 296890592.5821309 | 237637033.62481096 | 178321194.88793784 | 118943076.37151167 | 59502678.075532384
[11 linhas]
