 | Distribuição de receita por categoria e município | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30
 | Arapuá | 537260.1875116698 | 534209.883646161 | 531159.5797806517 | 528109.2759151427 | 525058.9720496336 | 522008.66818412446 | 518144.9499544795 | 514281.23172483477 | 510417.51349518984 | 506553.79526554496 | 503096.78421796806 | 498623.0052152213 | 494149.2262124746 | 489675.44720972795 | 485201.6682069812 | 480931.2427952686 | 476254.11020148784 | 471576.9776077073 | 466899.8450139266 | 462222.712420146 | 457138.87264429755 | 452461.74005051696 | 447784.60745673627 | 443107.47486295557 | 438430.342269175 | 433753.2096753944 | 429076.07708161377 | 424398.9444878331 | 419721.8118940526 | 415044.6793002719
 | Social | 76157.51196022623 | 75725.12638891535 | 75292.74081760444 | 74860.35524629356 | 74427.96967498264 | 73995.58410367175 | 73447.89571334461 | 72900.20732301749 | 72352.51893269033 | 71804.8305423632 | 71314.79356154418 | 70680.62805695487 | 70046.46255236554 | 69412.29704777623 | 68778.1315431869 | 68172.79174335164 | 67509.80053400827 | 66846.8093246649 | 66183.81811532151 | 65520.82690597814 | 64800.18428712664 | 64137.19307778327 | 63474.201868439886 | 62811.210659096505 | 62148.21944975314 | 61485.22824040976 | 60822.23703106637 | 60159.245821723 | 59496.25461237963 | 58833.263403036246
 | Residencial (Fixa) | 14864.623385228831 | 14780.22923277674 | 14695.835080324647 | 14611.440927872552 | 14527.046775420455 | 14442.652622968364 | 14335.75336319571 | 14228.854103423058 | 14121.954843650405 | 14015.05558387775 | 13919.40887776538 | 13795.630787502309 | 13671.852697239236 | 13548.074606976168 | 13424.296516713095 | 13306.144703280163 | 13176.740336186953 | 13047.335969093741 | 12917.931602000528 | 12788.52723490732 | 12647.87031415383 | 12518.46594706062 | 12389.061579967409 | 12259.657212874195 | 12130.252845780988 | 12000.848478687776 | 11871.444111594565 | 11742.039744501353 | 11612.635377408144 | 11483.231010314932
 | Residencial (0 a 5 m³) | 64975.66982954665 | 64606.769357387995 | 64237.86888522932 | 63868.96841307067 | 63500.06794091199 | 63131.16746875332 | 62663.89353735234 | 62196.61960595137 | 61729.34567455039 | 61262.07174314941 | 60843.984541369595 | 60302.93051553688 | 59761.87648970416 | 59220.822463871446 | 58679.76843803873 | 58163.307777016606 | 57597.66038637331 | 57032.012995730016 | 56466.36560508673 | 55900.718214443434 | 55285.88409417899 | 54720.2367035357 | 54154.589312892414 | 53588.94192224913 | 53023.29453160583 | 52457.647140962545 | 51891.99975031925 | 51326.352359675955 | 50760.70496903267 | 50195.05757838939
 | Residencial (> 5m³ a 10m³) | 93426.58529996505 | 92896.15427063144 | 92365.72324129778 | 91835.29221196414 | 91304.8611826305 | 90774.43015329687 | 90102.55084947425 | 89430.67154565165 | 88758.79224182903 | 88086.91293800641 | 87485.75777142831 | 86707.79226173896 | 85929.82675204962 | 85151.86124236029 | 84373.89573267094 | 83631.29229160385 | 82817.96471329227 | 82004.63713498069 | 81191.3095566691 | 80377.98197835752 | 79493.93026280146 | 78680.60268448989 | 77867.2751061783 | 77053.94752786672 | 76240.61994955514 | 75427.29237124354 | 74613.96479293198 | 73800.6372146204 | 72987.30963630883 | 72173.98205799724
 | Residencial (> 10m³ a 15m³) | 107680.99792368176 | 107069.63722388798 | 106458.27652409418 | 105846.91582430039 | 105235.55512450657 | 104624.19442471277 | 103849.80420497395 | 103075.41398523514 | 102301.02376549633 | 101526.63354575749 | 100833.7580859912 | 99937.09572629361 | 99040.43336659601 | 98143.77100689847 | 97247.10864720088 | 96391.20366748956 | 95453.7839278057 | 94516.3641881219 | 93578.94444843807 | 92641.52470875422 | 91622.59020909789 | 90685.17046941406 | 89747.75072973024 | 88810.3309900464 | 87872.91125036257 | 86935.49151067874 | 85998.07177099491 | 85060.65203131108 | 84123.23229162725 | 83185.81255194343
 | Residencial (> 15m³ a 20m³) | 77316.3534661893 | 76877.38855249029 | 76438.42363879124 | 75999.45872509223 | 75560.49381139319 | 75121.52889769417 | 74565.50667367538 | 74009.48444965662 | 73453.46222563784 | 72897.44000161906 | 72399.94643276016 | 71756.13122600158 | 71112.31601924301 | 70468.50081248443 | 69824.68560572584 | 69210.13472654721 | 68537.05519220869 | 67863.97565787018 | 67190.89612353165 | 66517.81658919314 | 65786.20839969478 | 65113.12886535626 | 64440.04933101773 | 63766.96979667922 | 63093.89026234071 | 62420.810728002194 | 61747.73119366368 | 61074.65165932516 | 60401.572124986655 | 59728.492590648144
 | Residencial (> 20m³ a 40m³) | 70400.81761296003 | 70001.11577185694 | 69601.41393075383 | 69201.71208965074 | 68802.01024854762 | 68402.30840744452 | 67896.01940871392 | 67389.73040998333 | 66883.44141125273 | 66377.15241252212 | 65924.15699260528 | 65337.927625654054 | 64751.69825870283 | 64165.46889175162 | 63579.2395248004 | 63019.65694725605 | 62406.78079089795 | 61793.90463453987 | 61181.028478181775 | 60568.152321823676 | 59901.982586651844 | 59289.106430293745 | 58676.23027393566 | 58063.35411757757 | 57450.47796121947 | 56837.60180486138 | 56224.72564850329 | 55611.84949214519 | 54998.97333578711 | 54386.09717942901
 | Residencial (>40m³) | 16949.158028450227 | 16852.928895056302 | 16756.699761662374 | 16660.47062826845 | 16564.24149487452 | 16468.012361480596 | 16346.12212584829 | 16224.231890215982 | 16102.341654583675 | 15980.451418951367 | 15871.391734438253 | 15730.255672127161 | 15589.119609816069 | 15447.983547504979 | 15306.847485193883 | 15172.126698442387 | 15024.5753605717 | 14877.024022701013 | 14729.472684830327 | 14581.92134695964 | 14421.539457969762 | 14273.988120099075 | 14126.43678222839 | 13978.885444357702 | 13831.334106487015 | 13683.782768616327 | 13536.231430745638 | 13388.68009287495 | 13241.128755004265 | 13093.577417133582
 | Comercial | 15488.470005421796 | 15400.533953157856 | 15312.597900893918 | 15224.66184862998 | 15136.72579636604 | 15048.789744102101 | 14937.404077901112 | 14826.018411700119 | 14714.63274549913 | 14603.24707929814 | 14503.586220065677 | 14374.6133434119 | 14245.640466758123 | 14116.667590104345 | 13987.69471345057 | 13864.584240281056 | 13729.748960143013 | 13594.913680004976 | 13460.078399866932 | 13325.243119728895 | 13178.683032622328 | 13043.847752484291 | 12909.01247234625 | 12774.17719220821 | 12639.341912070171 | 12504.50663193213 | 12369.67135179409 | 12234.836071656053 | 12100.000791518009 | 11965.165511379972
