tribunal,numero,ano,data_sessao,tipo,relator,colegiado,assunto,resumo_ia,url,verificado,flag
TCE-SP,10128/989,2018,2018-04-13,acordao,,,ADITAMENTO — Termo de Reequilíbrio Econômico-financeiro...,"O Tribunal de Contas do Estado de São Paulo decidiu pela irregularidade do aditamento do termo de reequilíbrio econômico-financeiro, apontando falhas na justificativa apresentada e na documentação anexa. A decisão foi fundamentada na ausência de comprovação da necessidade do reequilíbrio e na falta de transparência nos cálculos apresentados. Como consequência, foram determinadas a devolução de valores e a aplicação de multa ao responsável.",https://jurisprudencia.tce.sp.gov.br/arqs_juri/pdf/696308.pdf,false,[VIT]
TCE-SP,10582/989,2018,2018-04-19,acordao,,,ADITAMENTO — Termo de Reequilíbrio Econômico-financeiro...,"O Tribunal de Contas do Estado de São Paulo decidiu pela irregularidade do aditamento referente ao Termo de Reequilíbrio Econômico-financeiro. A decisão foi fundamentada na ausência de justificativas adequadas para o reequilíbrio solicitado, além de inconsistências nos documentos apresentados. Como consequência, foram determinadas a devolução de valores e a aplicação de multa ao responsável.",https://jurisprudencia.tce.sp.gov.br/arqs_juri/pdf/696308.pdf,false,[VIT]
TCE-SP,36157/026,2013,2013-10-07,acordao,,,CONTRATO — PRAZO VIGENCIA LOCACAO 60 MESES CONTADO A ...,"O Tribunal de Contas do Estado de São Paulo decidiu pela irregularidade do contrato de locação, que tinha prazo de vigência de 60 meses, por não atender aos requisitos legais estabelecidos. A decisão foi fundamentada na falta de justificativa adequada para a duração do contrato, o que compromete a economicidade e a eficiência na gestão pública. Além disso, foram apontadas falhas na documentação apresentada pela administração.",https://jurisprudencia.tce.sp.gov.br/arqs_juri/pdf/849590.pdf,false,[VIT]
TCE-SP,3706/989,2014,2014-08-08,acordao,,,EXAME PREVIO DE EDITAIS DE LICITACAO — Representação contra o edital da Concorrên...,"O Tribunal de Contas do Estado de São Paulo decidiu pela irregularidade do edital da concorrência pública analisada, apontando falhas que comprometem a lisura do processo licitatório. A decisão foi motivada por inconsistências nos requisitos de habilitação e na definição do objeto da licitação. O TCE-SP determinou a suspensão do edital até que as correções necessárias sejam realizadas.",https://jurisprudencia.tce.sp.gov.br/arqs_juri/pdf/415712.pdf,false,[VIT]
TCU,10682-PR,2023,2023-09-12,acordao,AUGUSTO SHERMAN,Primeira Câmara,"Embargos de declaração interposto por Departamento Regional do Senai no Estado do Paraná, Departamento Regional do Sesi No Estado do Paraná, Federação das Industrias do Estado do Paraná contra decisão do item 9.6.2 do Acórdão 3585/2023-TCU-1ª Câmara.","O Tribunal de Contas da União conheceu e deu provimento parcial aos embargos de declaração interpostos pelo Departamento Regional do Senai e do Sesi no Estado do Paraná, assim como pela Federação das Indústrias do Estado do Paraná. Foi reconhecida a ausência de republicação do edital e a falta de publicidade dos atos do procedimento licitatório, mas não foi identificado prejuízo ao caráter competitivo do certame. Os embargos de declaração foram conhecidos, mas rejeitados, com correção de erro material.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-2614474/,false,[VIT]
TCU,108,2018,2018-01-24,acordao,AROLDO CEDRAZ,plenario,ACÓRDÃO 108/2018 ATA 2/2018 - PLENÁRIO,"O Tribunal de Contas da União decidiu pela adoção de medida cautelar suspensiva do certame licitatório relacionado à solução de telefonia e manutenção de rede de voz e vídeo, devido a indícios de irregularidades, como sobrepreço no orçamento estimativo. A decisão foi fundamentada na presença de fumaça do bom direito e no perigo da demora. O colegiado referendou a medida cautelar em plenário.",https://contas.tcu.gov.br/pesquisaJurisprudencia/#/detalhamento/11/*/KEY:%22ACORDAO-COMPLETO-2295364%22/DTRELEVANCIA%2520desc%252C%2520NUMACORDAOINT%2520desc/false/1/false,false,[VIT]
TCU,11660-SE,2019,2019-10-29,acordao,MARCOS BEMQUERER,Segunda Câmara,,"O Tribunal de Contas da União decidiu, por unanimidade, conhecer da representação e considerá-la parcialmente procedente. Foi encaminhada cópia da deliberação à Prefeitura Municipal de Belo Horizonte/MG e promovido o arquivamento dos autos. Foi identificada uma impropriedade no Pregão Eletrônico 5/2019, relacionada à estimativa de preços sem considerar contratos anteriores.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-2378527/,false,[VIT]
TCU,1334-P,2026,2026-05-27,acordao,ANTONIO ANASTASIA,Plenário,"REPRESENTAÇÃO. Representação referente à licitação com número 900692025, modalidade Pregão e Uasg 153031 (Objeto: contratação de serviços de vigia para o Campus São Paulo e Hospital Universitário II)","O Tribunal de Contas da União analisou uma representação sobre o Pregão Eletrônico 90069/2025, referente à contratação de serviços de vigia pela Universidade Federal de São Paulo. A exigência de instalação de base operacional a 500 metros do campus foi considerada irregular, pois não foi comprovada a necessidade dessa restrição. A justificativa apresentada pela Unifesp não demonstrou que as necessidades operacionais não poderiam ser atendidas por outros critérios funcionais.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-2767267/,false,[VIT]
TCU,14077-PR,2023,2023-12-05,acordao,WEDER DE OLIVEIRA,Primeira Câmara,"REPRESENTAÇÃO. Representação referente à licitação com número 242023, modalidade Pregão e Uasg 160327 (Objeto: Serviço comum de engenharia para remoção e substituição do sistema de impermeabilização das lajes de cobertura do IME e substituição do sistema de drenagem de águas pluviais.)","O Tribunal de Contas da União analisou uma representação referente ao Pregão Eletrônico 24/2023, que envolveu a contratação de serviços de engenharia pelo Instituto Militar de Engenharia. A representação foi considerada admissível, e a empresa Gac Projetos e Construções Ltda. alegou irregularidades no edital, incluindo a falta de documentos essenciais. A empresa solicitou a suspensão do pregão e a anulação do processo licitatório, além da disponibilização das plantas do projeto básico.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-2638891/,false,[VIT]
TCU,141,2008,2008-02-13,acordao,UBIRATAN AGUIAR,plenario,ACÓRDÃO 141/2008 ATA 03/2008 - PLENÁRIO,"O Tribunal de Contas da União conheceu parcialmente a representação relacionada à licitação, destacando que a inserção de exigências não previstas em lei restringe o caráter competitivo do certame. Foi determinada a fixação de prazo para adequações. O acórdão também esclareceu a interpretação do art. 30, § 1º, inciso I, da Lei nº 8.666/93 sobre a qualificação profissional da contratada e a aferição de inexequibilidade de preços conforme o art. 48, inciso II, § 1º, alíneas 'a' e 'b', da mesma lei.",https://contas.tcu.gov.br/pesquisaJurisprudencia/#/detalhamento/11/*/KEY:%22ACORDAO-COMPLETO-36424%22/DTRELEVANCIA%2520desc%252C%2520NUMACORDAOINT%2520desc/false/1/false,false,[VIT]
